term,score,source
appliance,113.34532224531038,title_only
fan,90.2174061965039,title_only
cleaner,85.24416477955157,title_only
vacuum,71.49198844735757,title_only
cleaning,67.32459157380998,title_only
assembly,64.81579618456955,title_only
vacuum cleaner,64.56083562196964,title_only
cleaning appliance,58.9711006543739,title_only
fan assembly,49.9516786325689,title_only
head,42.849846249052746,title_only
cleaner head,35.80005131684126,title_only
hand,35.681355099640484,title_only
haircare,33.91284667198732,title_only
haircare appliance,33.91284667198732,title_only
surface,31.592354985128168,title_only
surface treating,29.628611589737233,title_only
treating,29.628611589737233,title_only
hand held,28.3347516448083,title_only
held appliance,28.3347516448083,title_only
held,28.3347516448083,title_only
separating,27.900434789176657,title_only
motor,27.4394089016709,title_only
treating appliance,25.744410548854116,title_only
air,24.33875877553436,title_only
hair,20.374038761817992,title_only
attachment,18.68772647058278,title_only
brushless,18.02710766620847,title_only
vacuum cleaning,17.694961941572682,title_only
styling,17.644286124373185,title_only
hair styling,17.644286124373185,title_only
cyclonic,17.43821813894619,title_only
electric,17.097224225353322,title_only
separator,16.56213529415355,title_only
treatment,15.810254273191362,title_only
control,15.70676305023026,title_only
domestic,15.48074934951985,title_only
machine,15.335658326489852,title_only
head vacuum,15.316824396074953,title_only
brushless motor,14.924935145882477,title_only
drying,14.339222862927526,title_only
filter,14.01821656638136,title_only
humidifying,14.0,title_only
domestic appliance,13.552141510864349,title_only
styling appliance,13.382225936069428,title_only
tool,13.118578536850128,title_only
purifier,13.050036758465836,title_only
air purifier,13.050036758465836,title_only
wearable,12.81679947534498,title_only
cyclonic separating,12.59482411878651,title_only
compressor,12.577907188660356,title_only
